# PcbXY Version 1.0
# Date: Sun 28 Jul 2013 22:21:57 GMT UTC
# Author: Richard Barlow
# Title: Power Board - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mm.  rotation in degrees.
# --------------------------------------------
C102,"0805","sr-c-2u2-0805",63.30,70.80,0,top
C107,"0805","sr-c-330n-0805",63.40,66.60,270,top
C210,"sr_0603","sr-c-100n",46.86,32.50,180,top
R102,"sr_0603","sr-r-1k",62.84,69.10,180,top
F304,"fuse_sil_1","sr-cn-fuse-sil",144.14,56.30,180,bottom
Q101,"SOT323","sr-fet-n-sn7002w",60.49,66.39,270,top
C108,"sr_0603","sr-c-100n",53.72,38.88,90,top
C318,"sr_0603","sr-c-100n",142.06,37.30,180,top
R309,"sr_0603","sr-r-100k",117.60,24.44,270,top
F302,"2920","sr-fuse-r1850-2920",126.30,39.20,180,bottom
R328,"sr_0603","sr-r-100",155.10,52.60,90,top
C104,"sr_0603","sr-c-100n",35.34,70.90,180,top
U301,"SC70_6_2","sr-ic-ina213",139.24,37.66,180,top
R315,"sr_0603","sr-r-100",136.35,34.80,0,top
C312,"0805","sr-c-2u2-0805",111.30,72.30,180,top
U102,"TSSOP48","sr-ic-sn74lvc16t245",67.65,53.88,180,top
R314,"sr_0603","sr-r-100",141.85,34.80,180,top
C302,"sr_0603","sr-c-100n",117.04,40.10,0,top
S202,"tact_sw_1","sr-sw-button-12.5mm",127.10,36.55,90,top
R313,"sr_0603","sr-r-100k",114.44,41.40,180,top
C301,"0805","sr-c-1u-0805",115.00,29.80,180,top
R212,"sr_0603","sr-r-160k",11.14,51.90,180,top
R207,"sr_0603","sr-r-160k",5.14,51.90,0,top
R220,"sr_0603","sr-r-330",11.30,47.46,270,top
LED302,"PLCC2","sr-led-green-plcc2",158.50,57.10,0,top
U200,"TSSOP16","sr-ic-sn65lvds051",22.47,38.85,180,top
C215,"sr_0603","sr-c-10n",71.00,67.90,270,top
D206,"SOT23","sr-d-mmbz5v6al",15.81,44.30,90,top
D207,"SOT23","sr-d-mmbz5v6al",11.79,44.30,270,top
J201,"8P8C","sr-cn-8p8c",13.26,32.57,270,bottom
R308,"sr_0603","sr-r-160k",106.60,71.36,90,top
LED200,"PLCC2","sr-led-red-plcc2",5.89,42.20,0,top
C214,"sr_0603","sr-c-10n",69.20,67.60,270,top
C217,"sr_0603","sr-c-10n",72.80,67.60,270,top
D300,"SOT23","sr-d-bat754s",111.30,28.41,0,top
J200,"8P8C","sr-cn-8p8c",13.26,51.86,270,bottom
R231,"sr_0603","sr-r-100k",82.60,20.10,270,top
Q204,"SOT323","sr-fet-n-sn7002w",79.89,20.09,270,top
R247,"sr_0603","sr-r-10k",72.80,64.80,270,top
C205,"sr_0603","sr-c-100n",94.10,75.54,270,top
C206,"sr_0603","sr-c-100n",95.70,74.04,270,top
R225,"sr_0603","sr-r-10k",52.70,30.00,90,top
Q203,"SOT323","sr-fet-n-bsh121",55.89,29.99,270,top
R223,"sr_0603","sr-r-100",9.10,42.20,90,top
R236,"sr_0603","sr-r-10k",72.46,83.50,180,top
C200,"sr_0603","sr-c-100n",24.06,32.00,180,top
C201,"sr_0603","sr-c-470n",24.06,33.50,180,top
F201,"1206","sr-fuse-r50-1206",9.60,33.30,90,top
F200,"1206","sr-fuse-r50-1206",6.70,33.30,90,top
R219,"sr_0603","sr-r-100",10.54,49.60,0,top
D203,"SOT23","sr-d-mmbz5v6al",15.41,59.30,90,top
R211,"sr_0603","sr-r-100",8.24,51.90,0,top
R203,"sr_0603","sr-r-160k",5.16,30.10,0,top
C212,"sr_0603","sr-c-10n",72.46,79.90,180,top
R204,"sr_0603","sr-r-100",8.20,30.10,0,top
